,Text,Ori_Label,Predict_Label
0,"But that spasm of irritation by a master intimidator was minor compared with what Bobby Fischer , the erratic former world chess champion , dished out in March at a news conference in Reykjavik , Iceland .",/people/person/nationality,/people/deceased_person/place_of_death
1,"But Schaap seems as comfortable in that role as Joe Buck , the Fox baseball and football sportscaster who so clearly benefited from learning beside his father , Jack Buck , the late voice of the St. Louis Cardinals . ''",/people/person/children,/people/person/children
2,"www.bonhams.com July 22 Mecum Hawkeye Classic Auction , Iowa Sate Fairgrounds , Des Moines .",/location/location/contains,/location/location/contains
3,"www.formula1.com August Aug. 1-5 National Corvette Restorers Society Annual Convention , Henry B. Gonzalez Convention Center , San Antonio .",/people/person/place_of_birth,/location/location/contains
4,"(248) 269-7672 , www.meadowbrookconcours.org Aug. 6 Formula One Grand Prix , Budapest , Hungary .",/location/country/administrative_divisions,/people/person/nationality
5,"www.lemansclassic.com July 9 Italian Car Festival , Stark County Fairgrounds , Canton , Ohio .",/location/location/contains,/location/location/contains
6,"Hockenheim , Germany .",/location/location/contains,/people/person/children
7,"The final deal was brokered through the major assistance of Annette L. Nazareth , an S.E.C. commissioner who once led its market regulation office , and Frank G. Zarb , the former chairman of NASD and a major presence on Wall Street and in Washington for much of his career .",/business/person/company,/business/person/company
8,"Mary L. Schapiro , who earlier this year became the new head of NASD , was more amenable to fashioning a deal to the New York Exchange 's liking than her predecessor , Robert R. Glauber .",/business/person/company,/business/person/company
9,"Graveside service Monday January 31 , 2:00 P.M. at Riverside Cemetery , Rochelle Park , N.J. Donations may be made to Hospice By The Sea , Boca Raton , Florida .",/location/location/contains,/location/location/contains
10,"This summer , the United States Embassy in Beirut , Lebanon , once again made its presence felt on the cultural scene by sponsoring a photo exhibition , an experimental jazz performance , a classical music concert and a visit from the Whiffenpoofs , Yale University 's a cappella singers .",/location/location/contains,/location/location/contains
11,"Sophiline Shapiro , the Cambodian-born artistic director of the Khmer Arts Academy , which has a school in Long Beach , Calif. , and a new dance company in Cambodia , was one of the first dance students at the School of Fine Arts in Phnom Penh after the fall of the Khmer Rouge in 1979 .",/location/administrative_division/country,/location/location/contains
12,"Homage to Cambodia '' was performed at Chaktomuk Conference Hall in Phnom Penh on Oct. 21 , attended by the king .",/location/country/capital,/location/location/contains
